0.,PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS 0000
00,Procedimientos e intervenciones no clasificados bajo otros conceptos
00.0,Ultrasonido terapéutico
00.01,Ultrasonido terapéutico de vasos de cabeza y cuello
00.02,Ultrasonido terapéutico cardiaco
00.03,Ultrasonido terapéutico de vasos periféricos
00.09,Otro ultrasonido terapéutico
00.1,Fármacos
00.10,Implantación de antineoplásico
00.11,Infusión de drotrecogin alfa activada
00.12,Administración de óxido nítrico inhalado
00.13,Inyección o infusión de nesiritide
00.14,Inyección o infusión de antibióticos del grupo de las oxazolidinonas
00.15,Infusión de dosis alta de interleucina2 IL2
00.16,Tratamiento presurizado de injerto de derivación venoso conducto con sustancia
00.17,Infusión de agente vasopresor
00.18,Terapia de infusión de anticuerpos inmunosupresores
00.19,Perturbación de la barrera hematoencefálica vía infusión BBBD
00.2,Imagen intravascular de vasos sanguíneos
00.21,Imagen intravascular de vasos cerebrales extracraneales
00.22,Imagen intravascular de vasos intratorácicos
00.23,Imagen intravascular de vasos periféricos
00.24,Imagen intravascular de vasos coronarios
00.25,Imagen intravascular de vasos renales
00.28,Imagen intravascular de otros vasos especificados
00.29,Imagen intravascular vasos no especificados
00.3,Cirugía asistida por ordenador CAS
00.31,Cirugía asistida por ordenador con TACTC
00.32,Cirugía asistida por ordenador con RMARM
00.33,Cirugía asistida por ordenador con radioscopia
00.34,Cirugía asistida por ordenador sin imagen
00.35,Cirugía asistida por ordenador con múltiples fuentes de datos
00.39,Otra cirugía asistida por ordenador
00.4,Procedimientos auxiliares sobre el sistema vascular
00.40,Procedimiento sobre un solo vaso
00.41,Procedimiento sobre dos vasos
00.42,Procedimiento sobre tres vasos
00.43,Procedimiento sobre cuatro o más vasos
00.44,Procedimiento sobre bifurcación vascular
00.45,Inserción de un stent vascular
00.46,Inserción de dos stents vasculares
00.47,Inserción de tres stents vasculares
00.48,Inserción de cuatro o más stents vasculares
00.49,Oxigenoterapia supersaturada
